item_id,Model,CPU,GPU,RAM,Storage,price,bench,cpu_bench,gpu_bench,value
LPLGE00024OB,Gram,Intel i7-1260P,Intel Iris Xe ,16.0,512GB,1355.5400015259,20.980217285552133,17231.0,12.1,154.7738706488572
LPHEW02083OB,EliteBook 640 G9,Intel i5-1245U,,16.0,512GB,1136.1600006104,17.507018829895728,13481.0,10.6,154.08937843692888
LPASU00765,Zenbook S 13 OLED EVO,Intel i7-1355U,,16.0,1TB,1299.0,19.93324685152154,15294.0,12.1,153.45070709408424
LPMSI00531OB,TITAN GT77,Intel i9-13980HX,GeForce RTX 4090,128.0,4TB,6299.1,95.94130047024485,47994.0,72.6,152.3095370294881
LPLEN03474,ThinkPad E16,Intel i5-1335U,,16.0,256GB,1299.0,19.370701874055502,16929.0,10.6,149.12010680566206
LPLEN03462,ThinkBook 14s Yoga,Intel Core i5-1335U,,16.0,256GB,1299.0,19.370701874055502,16929.0,10.6,149.12010680566206
LPHEW01997OB,ENVY X360,Intel i7-1250U,,16.0,1TB,1234.05,18.380357818496297,12421.0,12.1,148.9433800777626
LPASU00547OB,Vivobook 13,Intel Pentium Silver N6000,Intel UHD ,4.0,128GB,332.39,4.947876393547635,3089.0,3.4,148.8575586975431
LPLEN03522,ThinkBook 15 G4,AMD Ryzen 5 5625U,,16.0,256GB,1299.0,19.33440274168785,15078.0,11.6,148.84066775741223
LPMSI00544,Titan Gaming Notebook,Intel i9-13980HX,GeForce RTX 4090,64.0,2TB,6449.0,95.94130047024485,47994.0,72.6,148.7692672821288
LPLEN03710,,Intel i5-10310U,,16.0,512GB,649.0,9.64952977748355,6436.0,6.4,148.68304741885288
LPMSI00588,Prestige 16EVO,Intel i7-13700H,,32.0,1TB,1799.0,26.74152748500081,27890.0,12.1,148.64662304058263
LPASU00649,P1512CEA,Intel Core i5-1135G7,Intel UHD ,8.0,512GB,1049.0,15.566583177768814,9891.0,10.6,148.39450121800587
LPASU00647,P1512CEA,Intel Core i5-1135G7,Intel UHD ,8.0,512GB,1049.0,15.566583177768814,9891.0,10.6,148.39450121800587
LPDYA00004,C50-J,Intel Core i5-1135G7,Integrated GPU,8.0,512GB,1049.0,15.566583177768814,9891.0,10.6,148.39450121800587
LPLGE00032,Gram EVO,Intel i7-1360P,Intel Iris Xe,16.0,512GB,1499.0,22.103399816226148,19309.0,12.1,147.45430164260273
LPLEN03711,X1 Carbon,Intel i7-8665U,,16.0,256GB,649.0,9.552237739215348,6256.0,6.4,147.1839405117927
LPLEN03042,ThinkBook 15 G4,Intel Core i7-1255U,,16.0,512GB,1299.0,19.11058861683152,13772.0,12.1,147.11769527968838
LPLEN03221,ThinkPad L13 Yoga,Intel Core i7-1255U,,16.0,512GB,1299.0,19.11058861683152,13772.0,12.1,147.11769527968838
LPASU00763OB,Vivobook S 16 Flip,Intel i5-1335U,Intel HD ,16.0,512GB,901.55,13.199902975983877,16929.0,4.2,146.41343215555295
LPHEW02083,EliteBook 640 G9,Intel i5-1245U,,16.0,512GB,1195.9599990845,17.507018829895728,13481.0,10.6,146.38465202261983
LPLGE00030OB,Gram,Intel i7-1360P,Intel Iris Xe,16.0,512GB,1519.05,22.103399816226148,19309.0,12.1,145.50804658323395
LPLGE00033OB,Gram EVO,Intel i7-1360P,Intel Iris Xe,16.0,512GB,1519.05,22.103399816226148,19309.0,12.1,145.50804658323395
LPLGE00031OB,Gram EVO,Intel i7-1360P,Intel Iris Xe,16.0,512GB,1519.99,22.103399816226148,19309.0,12.1,145.4180607518875
LPRAZ00054,Razer Blade 14,AMD Ryzen 9 6900HX,GeForce RTX 3080Ti,16.0,1TB,4499.0,65.22856481735855,24887.0,53.7,144.9845850574762
LPLEN03476,14s Yoga G3,Intel Core i7-1355U,,16.0,512GB,1379.9599990845,19.93324685152154,15294.0,12.1,144.44800475916517
LPDYA00006,C50-J,Intel Core i7-1165G7,Integrated,8.0,512GB,1199.0,17.259337333117127,10347.0,12.1,143.94776758229463
LPLEN03502OB,IdeaPad Slim 3,AMD Ryzen 5 7520U,,16.0,512GB,664.05,9.556606500162376,9475.0,4.6,143.9139597946296
LPLEN03709,V15 G4,Intel i7-1355U,,16.0,1TB,1399.0,19.93324685152154,15294.0,12.1,142.4821075877165
LPHEW01997,ENVY X360,Intel i7-1250U,,16.0,1TB,1299.0,18.380357818496297,12421.0,12.1,141.4962110738745
LPASU00547,Vivobook 13 Slate Notebook,Intel Pentium Silver N6000,Intel UHD ,4.0,128GB,349.88,4.947876393547635,3089.0,3.4,141.41638257538685
LPASU00665,Zenbook Pro,Intel Core i9-12900H,GeForce RTX 3060,32.0,1TB,3999.0,55.91341276616274,28524.0,42.0,139.8184865370411
LPMSI00586,CreatorPro Z16HXStudio,Intel i9-13950HX,NVIDIA RTX A2000,32.0,1TB,3799.0,52.922077922077925,44931.0,29.7,139.305285396362
LPASU00763,Vivobook S 16 Flip,Intel i5-1335U,Intel HD ,16.0,512GB,949.0,13.199902975983877,16929.0,4.2,139.09276054777533
LPLEN03471,ThinkPad E14,Intel i5-1335U,,16.0,512GB,1399.0,19.370701874055502,16929.0,10.6,138.46105699825233
LPLEN03497,ThinkPad X1 Carbon,Intel i5-1335U,,16.0,256GB,1399.0,19.370701874055502,16929.0,10.6,138.46105699825233
LPLGE00033,Gram EVO,Intel i7-1360P,Intel Iris Xe,16.0,512GB,1599.0,22.103399816226148,19309.0,12.1,138.23264425407223
LPLGE00030,Gram,Intel i7-1360P,Intel Iris Xe,16.0,512GB,1599.0,22.103399816226148,19309.0,12.1,138.23264425407223
LPLGE00031,Gram EVO,Intel i7-1360P,Intel Iris Xe,16.0,512GB,1599.99,22.103399816226148,19309.0,12.1,138.14711227086514
LPMSI00585,CreatorPro Z17HX Studio,Intel i9-13950HX,NVIDIA RTX A3000,32.0,1TB,3999.0,55.23612750885478,44931.0,32.1,138.1248499846331
LPMSI00577OB,Prestige 13 Evo,Intel i7-1360P,,32.0,1TB,1604.55,22.103399816226148,19309.0,12.1,137.754509465122
LPMSI00531,TITAN GT77,Intel i9-13980HX,GeForce RTX 4090,128.0,4TB,6999.0,95.94130047024485,47994.0,72.6,137.07858332653927
LPLEN03502,IdeaPad Slim 3,AMD Ryzen 5 7520U,,16.0,512GB,699.0,9.556606500162376,9475.0,4.6,136.71826180489808
LPLGE00028OB,Gram EVO,Intel i7-1260P,Intel Iris Xe ,16.0,512GB,1538.89,20.980217285552133,17231.0,12.1,136.3334434920763
LPLEN01849OB,ThinkPad X1 Nano EVO,Intel Core i7-1160G7,,16.0,512GB,1234.05,16.62477703907897,9173.0,12.1,134.71720788524752
LPLEN03339,ThinkPad T14s Gen 2,AMD Ryzen 5 PRO 5650U,,8.0,256GB,1430.2,19.250082975188743,14922.0,11.6,134.59714008662246
LPGIG00125,AERO 16 YE4,Intel Core i9-12900H,NVIDIA GeForce RTX 3080 Ti,32.0,2TB,4999.0,67.19440450169994,28524.0,53.7,134.41569214182823
LPLEN03512,ThinkBook 14s Yoga G3,Intel Core i7-1355U,,16.0,512GB,1499.0,19.93324685152154,15294.0,12.1,132.97696365257866
LPMSI00577,Prestige 13 Evo,Intel i7-1360P,,32.0,1TB,1689.0,22.103399816226148,19309.0,12.1,130.86678399186587
LPASU00623,,AMD Ryzen 9 6900HX,NVIDIA GeForce RTX 3080 Ti,64.0,1TB,4999.0,65.22856481735855,24887.0,53.7,130.48322627997308
LPASU00565,ExpertBook B5,Intel Core i5-1135G7,Intel Iris Xe  G7,16.0,256GB,1199.0,15.566583177768814,9891.0,10.6,129.82971791300093
LPLGE00028,Gram EVO,Intel i7-1260P,Intel Iris Xe ,16.0,512GB,1619.88,20.980217285552133,17231.0,12.1,129.517107968196
LPSAS00158,Galaxy Book3 360 EVO,Intel i5-1335U,,8.0,256GB,1499.0,19.370701874055502,16929.0,10.6,129.22416193499336
LPLEN03546,E14,Intel i7-1355U,,16.0,512GB,1599.0,19.93324685152154,15294.0,12.1,124.66070576311157
LPLEN02112,ThinkBook 14s Yoga ITL,Intel i5-1135G7,Intel Iris Xe ,8.0,256GB,1249.0,15.566583177768814,9891.0,10.6,124.63237131920589
LPLEN02056,IdeaPad Slim 7i,Intel i5-1135G7,Intel Iris Xe ,8.0,512GB,1259.99,15.566583177768814,9891.0,10.6,123.54529145285926
LPASU00650,,Intel Core i7-1165G7,Intel Iris Xe ,16.0,1TB,1399.0,17.259337333117127,10347.0,12.1,123.36910173779219
LPASU00651,P1512CEA,Intel Core i7-1165G7,Intel Iris Xe ,16.0,1TB,1399.0,17.259337333117127,10347.0,12.1,123.36910173779219
LPASU00562,ExpertBook B1,Intel Core i7-1165G7,Intel Iris Xe  G7,12.0,512GB,1399.0,17.259337333117127,10347.0,12.1,123.36910173779219
LPASU00564,ExpertBook B1,Intel Core i7-1165G7,Intel Iris Xe  G7,12.0,512GB,1399.0,17.259337333117127,10347.0,12.1,123.36910173779219
LPDYA00028,Tecra,Intel i5-1240P,,16.0,256GB,1599.0,19.582041801626982,17320.0,10.6,122.464301448574
LPDYA00033,Tecra,Intel i7-1260P,,16.0,256GB,1749.0,20.980217285552133,17231.0,12.1,119.95550191853707
LPDYA00029,Tecra,Intel i7-1260P,,16.0,256GB,1749.99,20.980217285552133,17231.0,12.1,119.88764098967498
LPACE00942,A315-56-54YT,Intel Core i5-1035G1,Integrated Graphic,8.0,256GB,749.0,8.949569846794075,7460.0,5.1,119.4869138423775
LPMSI00527,CreatorPro,Intel i7-12700H,NVIDIA RTX A5500,32.0,1TB,5299.0,60.2742067549621,26424.0,47.7,113.74637998671844
LPHEW01837,OMEN 16,AMD Ryzen 5 5600H,Radeon ,16.0,1TB,1799.0,20.423533058967998,17093.0,11.6,113.52714318492494
LPASU00592,Vivobook 15,AMD Ryzen 3 3250U,AMD Radeon ,8.0,128GB,499.0,5.651164265858312,3855.0,3.7,113.24978488694012
LPMSI00528,CreatorPro,Intel i7-12700H,RTX A3000,32.0,1TB,3999.0,45.232884440912514,26424.0,32.1,113.1104887244624
LPLEN01757,ThinkBook 15 G2 ITL,Intel Core i7-1165G7 Quad-core (4 Core) 2.80 GHz,Intel UHD ,16.0,512 GB,1549.0,17.259337333117127,10347.0,12.1,111.42244889036235
