Model,Codename,Architecture,Core speed,Boost / Turbo,Memory Speed,Memory Bus,Memory Type,Max. Memory,DirectX,OpenGL,Process (nm),Days old,Perf. Rating,3DMark Ice Storm GPU,3DMark Cloud Gate Standard Score,3DMark Cloud Gate GPU,3DMark11 P,3DMark11 P GPU,3DMark Fire Strike Score,3DMark Fire Strike Graphics,3DMark Time Spy Score,3DMark Time Spy Graphics,3DMark Vantage P,3DMark06,3DMark01,GFXBench,GFXBench 3.0 1080p Manhattan Offscreen,GFXBench 3.1 Manhattan ES 3.1 Offscreen,Basemark GPU 1.2 Vulkan Medium Offscreen,Basemark X 1.1 Medium Quality,Basemark X 1.1 High Quality,"Unigine Heaven 3.0 DX 11, Normal Tessellation, High Shaders",Unigine Valley 1.0 Extreme HD DirectX,Cinebench R15 OpenGL 64Bit,Cinebench R10 32Bit OpenGL,"ComputeMark v2.1 Normal, Score",LuxMark v2.0 64Bit Sala GPUs-only
Intel Graphics 4-Cores iGPU (Arc),Meteor Lake iGPU,Xe LPG,,1950,,,,,12_2,4.6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA Quadro M2000M,,Maxwell,1038,1197,5000,128,GDDR5,4096,12 (FL 11_0),4.5,28,2996,~1171%,,17603.5n10,29795n10,5456n9,5143n9,3859n10,4157n10,,,20567n3,25604n5,,310.7,163.9,122.9,,,,52.7n4,20.4n4,92.65n10,4616n5,3145n2,1426n5
NVIDIA Quadro K5000M,N14E-Q5,Kepler,706,,3000,256,GDDR5,4096,11,4.1,28,4214,~12.246%,,16890n2,23060.5n2,5152n5,4893n3,2735n2,2797.5n2,,,20139n5,24239n3,,,,,,,,47.45n2,,,6814n2,,219.5n2
NVIDIA Quadro K4100M,N15E-Q3-A2,Kepler,706,,3200,256,GDDR5,4096,11,4.3,28,3797,~12.350%,,16071.5n2,24685,5259.5n2,4957,3505n2,3654,,,19909,25559.5n2,,,,,,,,48.1,,115n2,6751,,476.5n2
NVIDIA GeForce GTX 770M,N14E-GS,Kepler,811,,4000,192,GDDR5,3072,11,4.3,28,3851,~11.550%,,14766n9,23513n9,5066n9,4889n9,3131n9,3347n9,,,19208n7,22486n5,,321,,,,,,48.5n4,,95.1n2,6804n5,,
AMD Radeon RX 540X,Polaris 12,GCN 4.0,,1219,6000,128,GDDR5,4096,12_0,4.6,14,2095,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon Pro WX 2100,Polaris 12,Polaris,,1219,6000,128,GDDR5,2048,12,Vulkan,14,2095,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon RX 540,Polaris 12,Polaris,,1219,6000,128,GDDR5,4096,12,Vulkan,14,2460,~8.675%,138197,12853.5n4,24170n4,4664n5,4646n5,3059n6,3686n4,869n2,787n2,13719.5n2,15818n3,,,,46.12,,,,31.2,19.3,76.4n5,9285n2,998n3,858n2
AMD Radeon Pro WX 3100,Polaris 12,Polaris,,,6000,128,GDDR5,4096,12,Vulkan,14,2460,~8.767%,176357,11887.5n2,18522n2,4058n2,3690.5n2,2480.5n2,2671n2,918,820,11702,18186,,,,,,,,,10.1n2,75.35n2,8486.5n2,2414,921.5n2
NVIDIA GeForce GTX 860M,N15P-GX,Maxwell,1029,,5000,128,GDDR5,4096,12 (FL 11_0),4.4,28,3565,~12.363%,215144,15323.5n24,27960.5n24,5134n25,4902n25,3661n24,3904n24,,,19215.5n10,23220.5n4,,,41.1,,,,,49.5n7,,93.95n20,6718n11,3103.5n4,1081n5
NVIDIA GeForce GTX 675MX,N13E-GSR,Kepler,600,,3600,256,GDDR5,,11,4.1,28,4092,~12.838%,,13265,20325,4265.5n2,3978.5n2,2721,2831,,,18949.5n2,23190n2,,,,,,,,40.9,,,,,
NVIDIA GeForce GTX 950M,N16P-GT,Maxwell,914 - 993,1124,1800 - 5000,128,"DDR3, GDDR5",4096,12 (FL 11_0),4.5,28,3200,~9.483%,198867n5,13966n28,21355.5n28,4574.5n28,4367n28,2837.5n28,3200n28,1094,971,15710n6,21645n13,,244.7n2,132.3n2,99.15n2,,,,42.1,17.8,50.36n24,6029n15,2747n5,1242.5n4
AMD Radeon Pro 450,Polaris 11,Polaris,800,,5080,128,GDDR5,2048,12,Vulkan,14,2605,~10.958%,200518,14305,21533,4914,4502,3027,3252,1074,952,14245n2,24189,,,,,,,,,,69.8,,2589,774
AMD Radeon 630,,GCN 1.0,,1219,6000,64,GDDR5,4096,12,4.5,14,1586,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon 540X,,GCN 4.0,,1219,6000,64,GDDR5,2048,12_0,4.6,14,1586,~6.679%,,10652,15167,4199,4097,2435,2779,933.5n2,797,11545,16578,,210,77.5,61.4,,,,30.1,9.3,66.4,7557,2330,671
AMD Radeon R9 M470X,,GCN 2,1100,,6000,128,GDDR5,4096,12 FL11_1,4.3,28,2771,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon R9 M385X,Strato-XT-M3,GCN,1100,,6000,128,GDDR5,4096,12 FL11_1,4.3,28,3104,~8.550%,,8982n2,22544n2,4456.5n2,5514.5n2,2930.5n2,3404.5n2,,,12453,14024,,,,,,,,,,44.8,5087,3559,1331
NVIDIA Quadro P520,,Pascal,1303,1493,6000,64,GDDR5,2048,12_1,4.5,14,1663,~9.279%,141330n2,14169.5n4,19041n4,4492.5n6,4185.5n6,2960.5n6,3217.5n6,1135n6,1010.5n6,15720,18941.5n2,,319,165.7,105.1,,,,,35,102.3n6,5684.5n2,2619,1448
NVIDIA GeForce GTX 850M,N15P-GT,Maxwell,876,,2000 - 5000,128,"DDR3, GDDR5",4096,12 (FL 11_0),4.4,28,3565,~9.554%,,12781n23,21873n23,4495n21,4385.5n20,2765.5n22,3085.5n22,,,15862.5n4,16135n5,,,,,,,,41.8n5,,78.8n20,6463n13,2678,999n3
NVIDIA Quadro M1000M,,Maxwell,993,1072,5000,128,GDDR5,4096,12 (FL 11_0),4.5,28,2996,~10.754%,,15948.5n2,23422n2,4660.5n2,4229.5n2,3323n2,3497.5n2,,,,24483n2,,,,,,,,44.9n2,18.8n2,95.9n2,6839n2,2676,1179.5n2
NVIDIA Quadro M620,,Maxwell,1018,,5012,128,GDDR5,2048,12 (FL 11_0),4.5,28,2527,~8.475%,,13620n2,22119.5n2,4140n3,3801n3,2989n3,3130n3,968,862,17237,24751,,232.3,133.5,97.8,,,,,16.5n2,95.25n2,6851,2530,1079n2
AMD Radeon RX Vega 11,Vega Raven Ridge,Vega,,1240,,,,,12_1,,14,2241,~10.358%,157382n4,14579n4,20847.5n4,5350n6,5483n4,3038.5n6,3494n3,1127n3,935.5n2,,20608,,,,,,,,,,80.1n3,11001n2,3425n2,1074n2
AMD Radeon R9 M280X,Saturn XT,GCN,900,1000,5500,128,GDDR5,4096,12 (FL 12_0),4.4,28,3239,~763%,,7236,23201,3823,4698,2974,3498,1041,1012,9222,11618,,,,,120,,,,,50.7,5889,2934,1322
AMD Radeon HD 7950M,Wimbledon Pro,GCN,700,,4000,256,GDDR5,2048,11.1,4.1,28,4245,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce 945M,,Maxwell,928,1045,2000,128,DDR3,4096,12 (FL 11_0),4.5,28,3200,~9.358%,193684,9643n2,19405n2,3451n2,3309.5n2,2504.5n2,2850n2,,,13507,20209,,208.5,113.6,,,,,,,39.32n2,5899n2,,733
Qualcomm Snapdragon X Elite Adreno GPU,,,,,,,,,,,4,50,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GTX 765M,N14-GE,Kepler,850,,4000,128,GDDR5,2048,11,4.3,28,3851,~8.558%,,12408n12,17616n11,4083n13,4019n13,2362n13,2479n11,,,14870n13,19624n12,,266n3,,,,,,35.8n6,,88.3n3,6795.5n8,2400,517n3
NVIDIA Quadro K4000M,N14E-Q3,Kepler,600,,2800,256,GDDR5,4096,11,4.1,28,4214,~9.746%,,12751,19058,3777n3,3466n2,2192,2199,,,15362,20518n3,,,,,,,,36.5,,,6804,,221
NVIDIA Quadro P500,,Pascal,1455,1519,5012,64,GDDR5,,12_1,4.5,14,2222,~5.242%,,9301,12868,3338,3022,2118.5n2,2254.5n2,,,,,,,,,,,,,11.9,82.45n2,4374,,547
Intel UHD Graphics 64EUs (Alder Lake 12th Gen),Alder Lake Xe,Gen. 12,,1400,,,,,12_1,4.6,10,710,~9.983%,206410n5,18180n6,20306.5n6,4589n8,4077.5n8,3057.5n8,3252n8,1077.5n8,950n8,15907n5,23680n5,,320.3,234.9,130.9,120.3n5,,,,10.05n4,79.56n8,16251.5n6,1767n5,1394n4
Intel Iris Plus Graphics G7 (Ice Lake 64 EU),Ice Lake G7 Gen. 11,Gen. 11 Ice Lake,300,1100,,,DDR4,,12_1,4.5,10,1662,~7.679%,145594n14,12848.5n24,16713n24,4436n28,4187n28,2532n25,2717.5n26,892n23,791n23,14442,16163.5n4,,165.55n2,46.6,59.85n2,102,,,,,65.2n30,10554n7,2532n5,1321n3
AMD Radeon RX Vega 10,Vega Raven Ridge,Vega,,1300,,,,,12_1,,14,2241,~6.383%,113236n8,10318.5n16,14834.5n16,3449n17,3389n17,2028n17,2272n17,845n8,737n7,11391,14890n3,,149.35n2,46.3n2,43.15n2,,,,25.1,7,47.11n18,7856n5,2453n3,514n2
Intel Iris Pro Graphics P580,Skylake GT4e,Gen. 9 Skylake,350,1100,,eDRAM + 64/128,eDRAM,128,12_1,4.4,14,2882,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Iris Pro Graphics 580,Skylake GT4e,Gen. 9 Skylake,350,1050,,eDRAM + 64/128,eDRAM,128,12_1,4.4,14,2882,~7.846%,184880,11346,14594,3510,3220,1836,1903,,,,,,,,,,,,,,85.55n2,11355,2308,875
NVIDIA GeForce GTX 675M,N13E-GS1,Fermi,620,,3000,256,GDDR5,2048,11,,40,4285,~10.342%,,12533,18056,3531n6,3218n5,2182,2331,,,14756n5,20452.5n6,,,,,,,,34.7,,,6084n4,,
NVIDIA GeForce GTX 580M,N12E-GTX2,Fermi,620,,1500,256,GDDR5,2,11,,40,4553,~16.325%,,,,3424n4,3116.5n4,,,,,14403.5n2,20550.5n4,27355,,,,,,,,,,6209.5n2,,
AMD Radeon HD 6990M,Blackcomb XTX,Terascale 2,715,,900,256,GDDR5,2048,11,,40,4539,~24.725%,,,,3535n3,3227n3,,,,,15113n3,21082n3,59748,,,,,,,,,,8394.5n2,,
AMD Radeon R9 M470,Saturn,GCN 2,1000,,6000,128,GDDR5,4096,12 FL11_1,4.3,28,2771,~1021%,,15817,24365,,,3415,3655,,,,,,,,,,,,,,96.9,,,
AMD Radeon R9 M385,,GCN,,,6000,128,GDDR5,4096,11.1,4.3,28,3104,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon R9 M380,Strato Pro GDDR5,GCN,1000,,6000,128,GDDR5,4096,11.1,4.3,28,3104,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GT 650M SLI,N13E-GE,Kepler,790,835,4000,2x 128,GDDR5,2,11,,28,4285,~10.725%,,,,3621n3,3597n3,,,,,12811.5n2,16841.5n2,,,,,,,,35.8,,,5647,,
NVIDIA GeForce GTX 485M,N12E-GTX-A1,Fermi,575,,1500,256,GDDR5,,11,,40,5091,~1121%,,,,2942n2,2709n2,,,,,13536n4,19877.5n4,,,,,,,,,,,5859.5n4,,
NVIDIA Quadro K3100M,N15E-Q1-A2,Kepler,706,,3200,256,GDDR5,4096,11,4.3,28,3797,~9.950%,,13554n3,18389n3,3901n3,3581n3,2666n3,2797n3,,,15120,22437.5n2,,,,,,,,35.9n2,,99n3,6828n3,,259.5n2
AMD FirePro W5170M,,GCN,,925,4500,128,GDDR5,2048,12 (FL 12_0),4.3 / Vulkan,28,2996,~8.129%,,14139,19095,4564,4197,2736,2909,,,,,,,,,,,,,,82.3,,,
AMD Radeon R9 M370X,Cape Verde,GCN 1.0,800,,4500,128,GDDR5,2048,12 (FL 11_1),4.3,28,3132,~8.467%,188948,11445n2,15454.5n2,3991n2,3637.5n2,2283n2,2419n2,,,13155,18481,,219.8n2,62.3n2,66.3,,,,,,61.3n3,11288,2226,659
NVIDIA GeForce GTX 670MX,N13E-GR,Kepler,600,,2800,192,GDDR5,,11,4.2,28,4092,~10.929%,,,,3768n2,3587n2,2261,2371,,,14530n3,20268n3,,,,,,,,34.3n3,,,,,
NVIDIA Quadro 5010M,N12E-Q5,Fermi,450,,1300,256,GDDR5 ECC,4096,11,,40,4679,~10.821%,,,,3066n2,2693,,,,,12991,19036n3,,,,,,,,,,,6620,,
NVIDIA GeForce GTX 760M,N14E-GL,Kepler,657,,4000,128,GDDR5,2048,11,4.3,28,3851,~8.950%,,11727n7,15900n5,3554n7,3369n6,2172.5n6,2271n5,,,14006.5n6,19221n3,,,,,,,,32.75n2,,81.85n4,6802.5n4,2064,
AMD Radeon R9 M275,,GCN,925,,4500,128,GDDR5,4096,12 (FL 11_1),4.2,28,3423,~7.638%,145646,5652,11459,3182,3261,1603,1885,,,,10378,,,,,,,,,,50.5,,,
NVIDIA GeForce GTX 670M,N13E-GS1-LP,Fermi,598,,3000,192,GDDR5,3072,11,,40,4285,~9.142%,,11267,14940,2989n9,2698n9,1824,1950,,,12670n9,19451.5n8,,,,,,,,27.6,,,6283n7,,
AMD Radeon RX Vega 9,Vega Raven Ridge,Vega,,1300,,,,,12_1,,14,2241,~7.375%,131922,13582,19255,4424,4380,2524,2789,974,872,12628,13365,,192,73.1,57.4,,,,,,55,6966,2806,588
NVIDIA Maxwell GPU Surface Book,Surface Book,Maxwell,954,993,5012,64,GDDR5,1024,12 (FL 11_0),4.5,28,2997,~7.150%,123411,7464.5n2,11380n2,2736n2,2577n2,1919n2,2075.5n2,,,,15111,,,,,,,,,,34.98n2,5703.5n2,1676,1065
AMD FirePro W5130M,,GCN,,925,4000,128,GDDR5,2048,12 (FL 12_0),4.3 / Vulkan,28,2996,~746%,,10835.5n2,14380.5n2,3383,3106,1997n2,2110n2,,,,15680,,,,,,,,,,62.4n2,9635,896,629
AMD FirePro M8900,Blackcomb XT,Terascale 2,680,,900,256,GDDR5,2048,11,,40,4630,~24.64%,,,,,,,,,,,16703,,,,,,,,,,,,,
AMD Radeon HD 6970M,Blackcomb XT,Terascale 2,680,,900,256,GDDR5,2048,11,,40,4726,~10.321%,,,,3054n5,2818.5n4,,,,,11898n8,17447n8,,,,,,,,,,,7951.5n4,,
AMD Radeon R9 M270,,GCN,725,,4500,128,GDDR5,4096,12 (FL 11_1),4.2,28,3545,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon HD 8870M,,GCN,725,,4500,128,"GDDR5, DDR3",2048,11.1,4.1,28,4014,~8.246%,,11331.5n4,15738.5n4,3292n5,2986n5,2091n4,2168.5n4,,,11715n4,15675n3,,,,,,,,25.9n4,,,7769n2,,629
AMD Radeon HD 7870M,Heathrow XT,GCN,800,,4000,128,GDDR5,,11.1,4.2,28,4252,~7.113%,,,,3037,2702,,,,,13065,,,,,,,,,,,,,,
NVIDIA Quadro K3000M,N14E-Q1,Kepler,654,,2800,256,GDDR5,4096,11,4.1,28,4214,~9.821%,,,,2767n4,2427n2,,,,,11902n3,17037.5n2,,,,,,,,,,,6817.5n2,,
NVIDIA GeForce GTX 570M,N12E-GT,Fermi,575,,1150,192,GDDR5,3,11,,40,4553,~9.421%,,,,2640n5,2399n5,,,,,11060n5,17004.5n4,,,,,,,,,,,5353.5n4,,
Intel UHD Graphics Xe G4 48EUs,Tiger Lake Xe,Gen. 11 Ice Lake,350,1450,,,,,12_1,4.6,10,1217,~6.275%,97415.5n4,9422n11,15992n11,3508n11,3510n11,1962n11,2321n11,888n9,798n9,10650,10779.5n2,,210,,85,89.15n2,,,,,63.8n11,10477n3,1863,905
Intel UHD Graphics Xe 32EUs (Tiger Lake-H),Tiger Lake Xe,Gen. 12,350,1450,,,,,12_1,4.6,10,948,~8.471%,112982,15699.5n2,16207.5n2,3661.5n4,3195n4,2356n3,2506n4,784n2,676.5n2,13730,19728,,,,,104.8,,,,8.8,82.67n4,16428,1422,1197
Intel UHD Graphics 770,Alder Lake xG,Alder Lake,300,1550,,,,,,,10,710,~9.183%,179804,17404,16443,4157n2,3563n2,2738n2,2834n2,926.5n2,795.5n2,15865,23428,,236.1,161.8,86.4,118.7,,,34.9,11,94.6,,1667,1293
Intel UHD Graphics Xe 750 32EUs (Rocket Lake),Rocket Lake Xe,Gen. 12,350,1450,,,,,12_1,4.6,14,990,~6.750%,,12450n3,11377n3,3276.5n2,2817.5n2,2110n3,2188n3,741n2,638n2,,17496.5n2,,,,,,,,,,31.05n2,,1348,1115
AMD Radeon 740M,Phoenix,RDNA 3,1500,2500,,,,,12_2,4.6,4,206,,,,,,,,,,,,,,,,,,,,,,,,,
AMD FirePro M6000,,GCN,750,,4500,128,GDDR5,2048,11.1,4.1,28,4184,~10.221%,,,,2726,2422,,,,,10744,17152,,,,,,,,,,,10283,,
AMD FirePro M5100,,GCN,725,775,4500,128,GDDR5,2048,12 (FL 11_1),4.3,28,3727,~8.354%,,12602.5n2,16784.5n2,3333,2967,2225n2,2327.5n2,,,12308,18391n2,,,,,,,,27.5n2,,63.7n2,10516n2,2051,658n2
NVIDIA GeForce MX230,N17S-G0,Pascal,1519,1531,7000,64,GDDR5,4096,12_1,4.5,14,1759,~7.571%,183041n3,10529.5n6,15796.5n6,3621.5n6,3363.5n6,2298.5n6,2467.5n6,839.5n4,748n4,,18399,,176,91,65,,,,,,83.4n6,6353n4,2018,1069
Apple M2 8-Core GPU,,,,1398,,,LPDDR5-6400,,,,5,557,~12.317%,,,,,,,,,,,,,839.2,483.7,306.9,,,,,,128.62,,,
Apple M1 8-Core GPU,,,1278,,,,LPDDR4X-4266,,,,5,1130,~14.721%,280200,,,,,,,,,,,,588n5,345n5,248.65n6,,,,,,89.4n3,,,
AMD Radeon RX Vega 8 (Ryzen 4000/5000),Vega,Vega,,2100,,,,,12_1,,7,1438,~13.271%,299071n15,22794n44,27249.5n44,6085.5n52,5951n52,3441.5n52,3760n52,1328n53,1165.5n52,22428n8,25886n11,,,,,138.1n7,,,,13.8n8,80.1n53,15423n13,4019n9,1158.5n8
NVIDIA Quadro K2100M,,Kepler,667,,3000,128,GDDR5,2048,11,4.3,28,3797,~6.554%,,10047n7,11835n7,2626n4,2393.5n4,1553n7,1606n7,,,10648n2,15586n3,,,,,,,,23.2n5,,68.05n6,6821n7,1586,150n6
AMD Radeon HD 6950M,Blackcomb Pro,Terascale 2,580,,900,256,GDDR5,2048,11,,40,4726,~9.417%,,,,2643,2452,,,,,10122,13719,,,,,,,,,,,,,
NVIDIA GeForce GT 755M,N14P-,Kepler,980,,5400,128,GDDR5,4096,11,,28,3825,~8.642%,,10459n2,14966.5n2,2987.5n2,2800.5n2,2031n2,2105.5n2,,,12711,15861,,,,,,,,27.8,,,6577,,
Apple M1 7-Core GPU,,,1278,,,,LPDDR4X-4266,,,,5,1130,~9.317%,,,,,,,,,,,,,620,376,240,,,,,,90,,,
AMD Radeon RX Vega 7,Vega Raven Ridge,Vega,,1800,,,,,12_1,,7,1438,~11.692%,194758n15,19080n43,24726n43,5422.5n58,5248.5n58,3042n61,3347.5n62,1167.5n58,1032n57,17714n5,22493n11,37469,234.7,90.1,70,104.6n10,,,34.8,11.8n4,68.1n59,11417n10,2987.5n6,910n5
NVIDIA GeForce GTX 660M,N13E-GE,Kepler,835,,4000,128,GDDR5,2048,11,,28,4285,~12.446%,,10200,12861,2543n11,2369n9,1703,1751,,,10971n11,14704n9,46020,,,,,,,,,,6317.5n6,566,
NVIDIA GeForce 845M,,Maxwell,1071,1150,2000 - 5000,64/128,"DDR3, GDDR5",2048,12 (FL 11_0),4.4,28,3565,~5.233%,,7519,13754,3019,2973,2113,2362,,,,,,,,,,,,,,41.32,5924,,
AMD Radeon HD 8850M,,GCN,575,725,4500,128,"GDDR5, DDR3",2048,11.1,4.1,28,4014,~5.842%,,6278n3,11387n3,2507n3,2349n3,1693n3,1845n3,,,8222.5n2,10281.5n2,,,,,,,,,,46.93,6957n3,,
AMD Radeon R9 M365X,,GCN,900,925,4500,128,GDDR5,4096,12,4.4,28,3145,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon R9 M265X,Venus Pro,GCN,625,,4000,128,GDDR5,2048,12 (FL 11_1),,28,3629,~6.850%,,9950n5,12510n5,2925.5n4,2633n4,1900n5,1997n5,,,10547n2,15426n3,,,,,,,,,,58.7n5,8596n3,688,801
AMD Radeon HD 7850M,Heathrow Pro,GCN,675,,4000,128,GDDR5,,11.1,4.1,28,4252,~10.117%,,,,2760n2,2467n2,,,,,12254,14111,,,,,,,,,,,,,
AMD Radeon R7 M465,Litho XT,GCN,825,960,4000,128,GDDR5,2048,11.1,,28,2539,~4.88%,,,12250,,,,1740,,,,,,,,,,,,,,,,,
AMD Radeon HD 8790M,Mars XTX,GCN,850,,4500,128,GDDR5,2048,11.1,,28,4046,~7.238%,,9478,12049,2513n2,2186.5n2,1648,1727,,,9835,13118,,,,,,,,,,,7734,,
AMD FirePro W4170M,Mars XTX?,GCN,850,900,4000,128,GDDR5,2048,11.2,,28,4046,~6.746%,,10501,12506,2629,2315,1694,1766,,,,13622,,,,,,,,22.4,,54.7,9615,,462
NVIDIA Quadro 4000M,Fermi,Fermi,475,,1200,256,GDDR5,2048,11,,40,4679,~9.621%,,,,2334.5n2,2092n2,,,,,10722,17727,,,,,,,,,,,6638,,
NVIDIA GeForce GTX 470M,N11E-GT,Fermi,535,,1250,192,GDDR5,,11,,40,4792,~8.821%,,,,2205.5n2,2002.5n2,,,,,9800.5n2,16562n3,,,,,,,,,,,5409n2,,
NVIDIA GeForce GTX 480M,N11E-GTX-A3,Fermi,425,,1200,256,GDDR5,2048,11,,40,4952,~16.525%,,,,2387n2,2184.5n2,,,,,8872n2,15066.5n6,39907n2,,,,,,,,,,4919,,
NVIDIA GeForce GT 750M,N14P-GT,Kepler,967,,2000 - 5000,128,"DDR3, GDDR5",4096,11,,28,3910,~6.846%,,8632n13,10822n13,2655n12,2543n11,1508n13,1574n13,,,9618n9,13670n9,,,,,,,,22.3,,64.2n6,6711n8,,
Intel Iris Pro Graphics 6200,Broadwell GT3e,Gen. 8 Broadwell,300,1150,,eDRAM + 64/128,,,12 (FL 11_1),4.3,14,3118,~6.525%,,13058.5n2,15387.5n2,3094,2766,1685n2,1736.5n2,,,,,,,,,,,,,,,,,
NVIDIA GeForce MX130,N16S-GTR,Maxwell,1122,1242,,64,"DDR3, GDDR5",4096,12 (FL 11_0),4.5,28,2174,~7.283%,170596n3,10635n13,13610n13,3112n14,2875n14,2203n13,2345n13,724.5n4,644.5n4,11968,18080n3,,182.3n3,95.6n3,73.5n3,,,,27.9,11.3,78.8n13,5682.5n4,1976n3,700.5n2
NVIDIA GeForce 940MX,N16S-GTR-B/S,Maxwell,1122,1242,4000,64,"DDR3, GDDR5",4096,12 (FL 11_0),4.5,28,2836,~7.688%,147706n19,7674n37,11513n37,2660.5n50,2556n46,1834n37,1996n37,710n7,626n7,8549n4,12843n9,28793,131.1n3,69.3n3,60.3n2,,,,25.2n2,6.65n2,64.5n39,6321.5n28,1928n4,799n2
NVIDIA Quadro M520,,Maxwell,756,1019,,64,GDDR5,1024,12 (FL 11_0),4.5,28,2527,~6.983%,166193,8544,13394,2884,2658,2139,2342,684,614,11278,17305,,178.5,95.4,74.3,,,,27.9,11.4,75.5,6813,2045,708
NVIDIA Quadro K1100M,,Kepler,705,,2800,128,GDDR5,2048,11,4.3,28,3797,~5.450%,,8005n6,9227.5n6,2018.5n6,1826.5n6,1299n6,1340.5n6,,,8992,12159n4,,,,,,,,17.5n4,,51.25n6,5843n5,,115n5
AMD Radeon RX Vega 8 (Ryzen 2000/3000),Vega Raven Ridge,Vega,,1200,,,,,12_1,,14,2241,~6.283%,113247n18,11149n37,15770n37,3676n44,3557n44,2142n41,2381n41,779n23,693n23,10294n2,12213.5n6,,146.5n5,34.85n4,41.7n4,,,,27.3,7.7,47.78n45,7779.5n12,2272n4,888
NVIDIA GeForce 940M,N16S-GT-S/B,Maxwell,1072,1176,2000,64,DDR3,4096,12 (FL 11_0),4.5,28,3200,~5.567%,123311n4,6342n25,8818.5n24,2485n25,2405.5n24,1422n25,1622n24,,,7530.5n2,11920n6,,127.5n3,64n3,55.1,,,,,,52.4n23,6088n19,1719n2,878n3
Intel Iris Plus Graphics G4 (Ice Lake 48 EU),Ice Lake G4 Gen. 11,Gen. 11 Ice Lake,300,1100,,,DDR4,,12_1,4.5,10,1662,~6.483%,82913.5n2,11495.5n2,14910n2,3461n6,3225n6,1988n6,2124n6,732n3,646n3,8812n2,13031n3,,210.6,130.1,78.1,,,,30.5,8.5,55.5n6,9931.5n2,1784n3,875n3
NVIDIA GeForce 930MX,N16S-GMR,Maxwell,952,1020,2000,64,"GDDR5, DDR3",,12 (FL 11_0),4.5,28,2836,~5.375%,135057,7025.5n6,9053n6,2339n8,2201.5n6,1427n6,1597n6,564,493,8062,12695n3,,124.1,66.8,52.6,,,,,,47.84n6,6810n3,1587.5n2,544n3
NVIDIA Quadro M600M,,Maxwell,837,876,5012,128,GDDR5,2048,12 (FL 11_0),4.5,28,2996,~7.367%,,13310,18491,3216,2911,2322,2430,719,631,12734,20563,,,104.3,75.7,,,,,,75.2,6832,1754,1016
AMD FirePro W4190M,Mars XTX?,GCN,825,900,4000,128,GDDR5,2048,11.2,,28,2955,~5.750%,,7894n3,12317n3,2570n3,2351n3,1663n3,1745n3,,,,12929,,,,,,,,,7.25n2,48.74n3,9490,902,984n3
AMD Radeon R9 M375,,GCN,1015,,2200,128,DDR3,4096,12 (FL 11_1),4.3,28,3144,~5.354%,,5932,8466,3269,3314,1514,1667,,,8275,11543,,,42.3,,,,,,,45.5,6544,657,931
Intel Iris Plus Graphics 655,Kaby Lake GT3e,Gen. 9.5 Kaby Lake,300,1200,,,DDR3/DDR4,,12_1,4.5,14,2296,~12.479%,137266n4,11622n9,14343n9,3180.5n8,2894n8,1850n9,1983n9,684n10,604.5n10,12287n2,17885n2,,6375.3n2,199.6,2387.05n2,,,,,8.2,74.01n11,10263n3,1712.5n2,1038n2
AMD Radeon R7 M445,,GCN,920,,2000,64,GDDR5,4096,12,4.5,28,2770,~658%,126481,7092,9617,2422,2208,1455,1579,530,471,6872,12657,,,,,,,,,6.6,45.91,7760,,
AMD Radeon R7 M380,,GCN,915,,2000,128,DDR3,4096,12 (FL 11_1),4.3,28,3144,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Radeon R7 M370,,GCN,875,,3600,128,GDDR5,2048,12,4.4,28,3145,~5.963%,118746,7169n3,10364n3,2690n3,2524n3,1654n3,1760n3,,,8513,12983,,80.7,35.3,,,,,,,52.1n3,9537.5n2,507,475
NVIDIA GeForce GT 650M,N13E-GE,Kepler,735,900,1800 - 4000,128,"DDR3, GDDR5",2048,11,,28,4285,~10.454%,,6874n5,10647n4,2320n26,2111.5n20,1241n5,1420n4,,,9682n21,13514n21,44872,,,,,,,21.5,,,6483.5n18,1451,190
NVIDIA Quadro K620M,,Maxwell,1029,1124,2000,64,DDR3,2048,11,4.3,28,3211,~5.258%,,6591,9092,2526,2434,1424,1621,,,7880,10912,,,60.3,,,,,21.9,,60.6,5261,1737,508
NVIDIA Quadro M500M,,Maxwell,1029,1124,4004,64,DDR3,2048,12 (FL 11_0),4.5,28,2922,~5.575%,126522,6359n4,8348n4,2447n4,2364.5n4,1391.5n4,1594.5n4,,,7959,12377.5n2,,129.5,67.9,53.2,,,,21.35n2,6.3n2,40.69n4,6602n3,1741n2,850n3
