Model,Codename,Series,L2 Cache + L3 Cache,FSB / QPI,TDP Watt,MHz - Turbo,Cores / Threads,Process (nm),Architecture,64 Bit,Days old,Graphics Card,Perf. Rating,3DMark06 CPU,Cinebench R10 32Bit Single,Cinebench R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,Cinebench R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,Cinebench R20 Single,Cinebench R20,Cinebench R23 Single Core,Cinebench R23 Multi Core,SuperPI 1M*,SuperPI 32M*,wPrime 32,wPrime 1024,WinRAR 4.0,x264 Pass 1,x264 Pass 2,x265,TrueCrypt AES,TrueCrypt Twofish,TrueCrypt Serpent,Blender(-),Blender v3.3 Classroom CPU(-),7-Zip Single,7-Zip,Geekbench 2,Geekbench 3 32 Bit Single-Core Score,Geekbench 3 32 Bit Multi-Core Score,Geekbench 4.4 64 Bit Single-Core Score,Geekbench 4.4 64 Bit Multi-Core Score,Geekbench 5.0 5.0 Single-Core,Geekbench 5.0 5.0 Multi-Core,Geekbench 5.5 Single-Core,Geekbench 5.5 Multi-Core,Geekbench 6.2 Single-Core,Geekbench 6.2 Multi-Core,PassMark PerformanceTest Mobile V1 CPU Tests,Sunspider 1.0 Total Score(-),Octane V2 Total Score,Jetstream 2,Speedometer,WebXPRT 3,WebXPRT 4 Overall
Intel Core i5-12450H,Alder Lake-H,Alder Lake-P,8MB + 12MB,,45,1500 ‑ 4400,8/12,10,x86,,710,UHD Graphics Xe G4 48EUs,~37.9,11439,8178,35790,2.88,16.05,238,1266,643,3253.5,1665,8320,8.41,451.44,7.23,436.01,6015,272.5,75.95,9.94,8,1.3,0.79,403,701,5278,33549,,,,7153,28151,1575,7120.5,1639,7200,2262,8123,,,,291.61,,285,238.5
Intel Core i5-12400F,Alder Lake-S,Alder Lake-S,7.5MB + 17.9MB,,65,2500 ‑ 4400,6/12,10,x86,,710,UHD Graphics 750,~38.9,11892,8389,40690,2.95,20.39,244,1759,653,4740,1680,12380,8.3,438.44,4.08,112.85,7816,252.5,101.35,15.2,9.3,1.4,0.88,269,430,5476,45043,,,,7548,35098,1673,9368,1742,9517,,,,,,,,272,235
Intel Core i5-11400F,Rocket Lake,Rocket Lake,3MB + 12MB,,65,2600 ‑ 4400,6/12,14,x86,,940,UHD Graphics 750,~32.5,13359,6210,44220,2.23,17.65,210,1574,502,3945,1339,10235,7.76,703,4.09,117.2,7147,258,91.5,13.5,8.7,1.4,0.84,290.2,,5466,41522,,,,6836,30191,1543,7679,1575,7681,,,,,,,,255,
Intel Core i5-1350P,Raptor Lake-P,Raptor Lake-P,10MB + 18MB,,28,1400 ‑ 4700,12/16,10,x86,,710,Iris Xe G7 80EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple M3,,Apple M3,4MB,,,2748 ‑ 4056,8/8,3,ARM,,51,M3 10-Core GPU,~64.5,,,,,,271,1499,504,2818,1904,10454,,,,,,,,,,,,474,761,,,,,,,,,,2342,10774,3087.5,11914.5,,,96933,304.5,559,423,
Intel Core i5-10600K,Comet Lake,Comet Lake,1.5MB + 12MB,,125,4100 ‑ 4800,6/12,14,x86,,1304,UHD Graphics 630,~31.1,,7343,40074,2.19,15.76,205,1452,464,3443,1385,10475,7.8,438.7,4.65,113.2,6536,251.5,88.2,12.2,8,1.4,0.82,302.4,,5289,40379,,,,5821,28391,1281,7237,1286,7248,,,,,,,,239,
AMD Ryzen 7 4800HS,Renoir-HS (Zen 2),Renoir (Ryzen 4000 APU),4MB + 8MB,,35,2900 ‑ 4200,8/16,7,x86,,1438,Vega 7,~30.4,12785,5705,36313,2.19,19.94,186.5,1700.5,482,3869,,,9.72,561,4.11,91.1,4642,216.5,99,12,10.3,1.8,1.1,284,,4655,48392,,,,5134,29223.5,1196,7878,1190.5,7611,,,,,,,,214,
Intel Core i9-9880H,Coffee Lake-H,Coffee Lake,2MB + 16MB,,45,2300 ‑ 4800,8/16,14,x86,,1690,UHD Graphics 630,~29.4,12225.5,6967,42456,2.11,18.94,190,1508,465,3235,1174,8747,8.52,476.5,5.39,118.7,6683,217,102.4,11.1,7.5,1,0.68,334.5,,4924,42138,,,,5457,29077,1186,7100,1176,7231,,,,,40443,151.8,134.1,184,
Intel Core i7-8086K,Coffee Lake-S,Coffee Lake,1.5MB + 12MB,,95,3700 ‑ 5000,6/12,14,x86,,2023,UHD Graphics 630,~29.8,11218,7216,35896,2.28,15.04,206,1349,495,3111,1260,8686,8.5,466.95,4.13,119.8,6751.5,230.55,85.45,11.3,7.85,1.4,0.79,316,,5416.5,36059.5,,,,5792,24527,1276,5644,1240,5485,,,,,,,,217,
Intel Core i7-8700K,Coffee Lake-S,Coffee Lake,1.5MB + 12MB,,95,3700 ‑ 4700,6/12,14,x86,,2535,UHD Graphics 630,~32.3,11701,7328,39096,2.2,15,192,1362,430,3165,,,8.02,442.8,4.16,118.9,7120,232,87.2,10.8,8,1.4,0.79,332.75,,,,,,,5783,25045,,,1210,6310,,,,55.75,47063.5,,,,
