Model,Codename,Series,L2 Cache + L3 Cache,FSB / QPI,TDP Watt,MHz - Turbo,Cores / Threads,Process (nm),Architecture,64 Bit,Days old,Graphics Card,Perf. Rating,3DMark06 CPU,Cinebench R10 32Bit Single,Cinebench R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,Cinebench R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,Cinebench R20 Single,Cinebench R20,Cinebench R23 Single Core,Cinebench R23 Multi Core,SuperPI 1M*,SuperPI 32M*,wPrime 32,wPrime 1024,WinRAR 4.0,x264 Pass 1,x264 Pass 2,x265,TrueCrypt AES,TrueCrypt Twofish,TrueCrypt Serpent,Blender(-),Blender v3.3 Classroom CPU(-),7-Zip Single,7-Zip,Geekbench 2,Geekbench 3 32 Bit Single-Core Score,Geekbench 3 32 Bit Multi-Core Score,Geekbench 4.4 64 Bit Single-Core Score,Geekbench 4.4 64 Bit Multi-Core Score,Geekbench 5.0 5.0 Single-Core,Geekbench 5.0 5.0 Multi-Core,Geekbench 5.5 Single-Core,Geekbench 5.5 Multi-Core,Geekbench 6.2 Single-Core,Geekbench 6.2 Multi-Core,PassMark PerformanceTest Mobile V1 CPU Tests,Sunspider 1.0 Total Score(-),Octane V2 Total Score,Jetstream 2,Speedometer,WebXPRT 3,WebXPRT 4 Overall
Intel Core i7-8665U,Whiskey Lake-U,Core i7,1MB + 8MB,,15,1900 ‑ 4800,4/8,14,x86,,1704,UHD Graphics 620,~25,6365,6872,18426.5,1.67,4.88,180,670,427,1346,988,2729,8,521,9.98,429.3,3418,139,32,4.5,2.6,0.45,0.27,754.5,,4705.5,18298,,3887,14277,5342.5,16347,1196,3453,1039,2671,,,,235,34548,,63.1,,
Intel Core i7-8650U,Kaby Lake Refresh,Kaby Lake Refresh,1MB + 8MB,,15,1900 ‑ 4200,4/8,14,x86,,2307,UHD Graphics 620,~23.2,6936,6629,18635,1.92,6.82,169,605,,,,,8.84,508,9.94,302.8,4319,169.6,39.75,,4.3,0.72,0.44,,,,,,,,,,,,,,,,,74.4,33906,,,227,
Intel Core i5-10210U,Comet Lake-U,Comet Lake,1MB + 6MB,,15,1600 ‑ 4200,4/8,14,x86,,1566,UHD Graphics 620,~25.2,6363,6412,16072,1.89,7.5,166,616,415,1242,1062,3794,8.96,516.5,6.78,217.8,4213,169.5,43.85,4.31,4.65,0.8,0.49,829,,4261,16742,,3457,12114,4696.5,14139,1067.5,3467.5,1079,3689,,,4130,245.45,34153,127.45,116.5,191,
Intel Core i7-8565U,Whiskey Lake-U,Core i7,1MB + 8MB,,15,1800 ‑ 4600,4/8,14,x86,,1942,UHD Graphics 620,~26.1,6158,6644,16760,1.93,6.8,173,608.5,411.5,1181.5,,,8.36,508,9.55,360.2,4291.5,140.9,33.71,4.71,4,0.72,0.44,806.5,,4737,18860,10600,3851,12302.5,5142.5,13888,1197,3176,1135.5,3073.5,,,,152.7,34884.5,,59.7,202,
Intel Core i7-1060NG7,Ice Lake Y,Ice Lake,2MB + 8MB,,10,1200 ‑ 3800,4/8,10,x86,,1365,Iris Plus Graphics G7 (Ice Lake 64 EU),~27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153,2940,,,,,,,,,
Intel Core i7-1060G7,Ice Lake Y,Ice Lake,2MB + 8MB,,9,1000 ‑ 3800,4/8,10,x86,,1597,Iris Plus Graphics G7 (Ice Lake 64 EU),~26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167,2322,,,,,,,,,
Intel Core i5-1034G1,Ice Lake U,Ice Lake,2MB + 6MB,,15,800 ‑ 3600,4/8,10,x86,,1661,UHD Graphics G1 (Ice Lake 32 EU),~35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5090,16969,,,,,,,,,,,,,
Intel Core i5-8365U,Whiskey Lake-U,Core i5,1MB + 6MB,,15,1600 ‑ 4100,4/8,14,x86,,1704,UHD Graphics 620,~22.5,6330,6557,16518,1.91,5.74,166,579,421,1408,,,9.15,546,7.72,296.7,3173,153,35.9,4.49,4.6,0.8,0.46,825,,4346,17293,,,,4822.5,15472,,,,,,,,,32878,,,,
AMD Ryzen 3 7330U,Barcelo (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",2MB + 8MB,,15,2300 ‑ 4300,4/8,7,x86,,344,Vega 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 5 7520U,Mendocino-U (Zen 2),"Mendocino (Zen 2, Ryzen 7020)",2MB + 4MB,,15,2800 ‑ 4300,4/8,6,x86,,451,Radeon 610M,~36.6,,,,,,168.8,834,350.5,1632.5,1171,5149,,,,,,,,6.3,,,,588,1044,4167,24219,,,,,,,,1066,3821,,,,,,,,191.3,155.3
AMD Ryzen 5 7520C,Mendocino (Zen 2),"Mendocino (Zen 2, Ryzen 7020)",2MB + 4MB,,15,2800 ‑ 4300,4/8,6,x86,,206,Radeon 610M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 3 7320U,Mendocino-U (Zen 2),"Mendocino (Zen 2, Ryzen 7020)",2MB + 4MB,,15,2400 ‑ 4100,4/8,6,x86,,451,Radeon 610M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 3 7320C,Mendocino (Zen 2),"Mendocino (Zen 2, Ryzen 7020)",2MB + 4MB,,15,2400 ‑ 4100,4/8,6,x86,,451,Radeon 610M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 3 5425U,Barcelo-U (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",2MB + 8MB,,15,2700 ‑ 4100,4/8,7,x86,,710,Vega 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 3 5425C,Barcelo (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",2MB + 8MB,,25,2700 ‑ 4100,4/8,7,x86,,589,Vega 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 3 5400U,Cezanne-U (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",2MB + 8MB,,25,2600 ‑ 4000,4/8,7,x86,,1072,Vega 6,~27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,3095,,,,,,,,,
AMD Ryzen 3 PRO 5475U,Barcelo-U PRO (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",2MB + 8MB,,15,2700 ‑ 4100,4/8,7,x86,,633,Vega 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 3 PRO 5450U,Cezanne-U PRO (Zen 3),"Cezanne (Zen 3, Ryzen 5000)",2MB + 8MB,,15,2600 ‑ 4000,4/8,7,x86,,1072,Vega 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-8265U,Whiskey Lake-U,Core i5,1MB + 6MB,,15,1600 ‑ 3900,4/8,14,x86,,1942,UHD Graphics 620,~27,6316,6082,19418,1.78,5.74,159,601.5,397,1285.5,1008,3500,9.78,552,11.02,402.35,3988,156,39.1,4.2,4.4,0.79,0.46,861,1565,4084,16245,11639,3678.5,14002,4514,13295,1017,3365,1041.5,3624.5,,,,95.6,32120,119.7,54.45,187,145.3
Intel Core i5-1140G7,Tiger Lake-UP4,Tiger Lake,5MB + 8MB,,15,1800 ‑ 4200,4/8,10,x86,,1199,Iris Xe G7 80EUs,~26.9,7524,7771,19199,2.25,7.06,179,630,438,1126,1246,2611,8.32,434.9,10.99,410.7,4632,145.9,32.13,3.82,3.1,0.55,0.31,993,,4201,15167,,,,5937,15462,1355,3904,1353,3921,,,,160.1,57983,169,130.9,216,
AMD Ryzen 7 2800H,Raven Ridge (Zen),Raven Ridge (Ryzen 2000 APU),2MB + 4MB,,45,3300 ‑ 3800,4/8,14,x86,,1915,Vega 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 5 3550H,Picasso-U (Zen+),Picasso (Ryzen 3000 APU),2MB + 4MB,,35,2100 ‑ 3700,4/8,12,x86,,1804,Vega 8,~25.3,7174,4592,19520.5,1.65,8.55,144,742,359,1621,886,3929.5,11.91,695,7.67,209.2,2929,146.8,44.3,4.04,4.7,0.67,0.47,659,1297,3547.5,17978,,3353,14437,3807,11926,902,3250,899,3281,,,,117.8,28811.5,122.1,42.8,162,124.3
AMD Ryzen 7 2700U,Zen,Raven Ridge (Ryzen 2000 APU),2MB + 4MB,,15,2200 ‑ 3800,4/8,14,x86,,2165,Vega 10,~24.7,6072,4515,13729,1.65,7.53,143.5,644,356,1422,886,3603,11.8,698,8.55,269.1,,128,36.4,3.96,,,,713,,3592,17317,,3248.5,11433.5,3495,8582,,,813,2969,,,,217.4,26482,,36.9,142,
AMD Ryzen 7 PRO 2700U,Zen,Raven Ridge (Ryzen 2000 APU),2MB + 4MB,,15,2200 ‑ 3800,4/8,14,x86,,2165,Vega 10,~21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882,3183,,,,,,,,,
AMD Ryzen 3 5300U,Lucienne-U (Zen 2),"Lucienne (Zen 2, Ryzen 5000)",2MB + 4MB,,25,2600 ‑ 3800,4/8,7,x86,,1072,Vega 6,~29.5,7931,5118,22139,1.89,9.29,170,906,436,2067,1115,5341,7,366,,,2551,,,6.54,5.1,0.93,0.55,544,1069,3960,21971,,4096,16771,4560,16261,1062.5,4106.5,1070,4008,,,,,52372,156.69,176,187.4,147.3
AMD Ryzen 3 2200G,Zen,Raven Ridge (Ryzen 2000 APU),2MB + 4MB,,65,3500 ‑ 3700,4/4,14,x86,,2168,Vega 8,~22.8,6636,4625,16684,1.68,6.66,145.55,577,363,1446,,,11.7,651,10.8,333,3229,184,39.7,4.29,3.1,0.48,0.3,826,,3948,14790,,,,4249,11896.5,959,3431,1086.5,4881.5,,,,92.7,34670,,,,
AMD Ryzen 5 3500U,Picasso-U (Zen+),Picasso (Ryzen 3000 APU),2MB + 4MB,,15,2100 ‑ 3700,4/8,12,x86,,1804,Vega 8,~23.2,5950.5,4557.5,17230.5,1.65,7.62,143,650,364,1477,,,12,697,12.88,368.2,2455,134.8,39.2,4.02,4.4,0.67,0.44,694,,3538,17024.5,11917,3442.5,13040,3893,11783,896,3118.5,898.5,3155.5,,,,128.8,27809,89.4,40.4,148,
AMD Ryzen 5 PRO 3500U,Zen+,Picasso (Ryzen 3000 APU),2MB + 4MB,,15,2100 ‑ 3700,4/8,12,x86,,1712,Vega 8,~25.9,,,,,,142,624,361.5,1338.5,,,,,,,,,,3.48,,,,795.5,,3474,16220.5,,,,3820,10419,,,863,2824,,,,,27437,89.7,41.3,142,
Intel Core i5-1130G7,Tiger Lake-UP4,Tiger Lake,5MB + 8MB,,15,1800 ‑ 4000,4/8,10,x86,,1199,Iris Xe G7 80EUs,~25.2,5569,7813,25385,2.18,7.64,179,616.5,448,1060.5,1151.5,2738.5,8.58,464.2,10.56,474.9,4785,145.5,30.2,3.04,2.6,0.64,0.33,1189.5,,4175,14726,,,,5724,18742,1307,4791,1321.5,4802,,,,,57829,174,179,219.5,
AMD Ryzen 5 3450U,Picasso-U (Zen+),Picasso (Ryzen 3000 APU),2MB + 4MB,,15,2100 ‑ 3500,4/8,12,x86,,1323,Vega 8,~23.6,,,,,,137.5,566.5,321.5,1168,875,2926.5,,,,,,,,3.03,,,,946,,3359,15878,,,,3486,10200,853,2630,839,2972,,,,,,115.4,,145.5,
AMD Ryzen 3 4300U,Renoir-U (Zen 2),Renoir (Ryzen 4000 APU),2MB + 4MB,,15,2700 ‑ 3700,4/4,7,x86,,1438,Vega 5,~30.4,6068,,,,,163.9,562.5,422,1571,1074,3571,,,,,2397,172.3,35,4.87,3.2,0.59,0.34,887.5,1413.5,4063.5,15824,11281,4042,13134,4517,13503,1036,3358,1046.5,3438.5,,,,102.5,33152,,51.2,194,152.3
AMD Ryzen 5 3580U,Picasso-U (Zen+),Picasso (Ryzen 3000 APU),2MB + 4MB,,15,2100 ‑ 3700,4/8,12,x86,,1804,Vega 9,~19.5,5545,4525,18307,1.65,7.82,139,693,352,1549,,,12.04,694,7.17,274.7,2924,135.3,40.1,4.09,3.5,0.61,0.4,710,,3572,15209,,,,,,,,900,2990,,,,,28517,,,,
Intel Core i3-1125G4,Tiger Lake-UP3,Tiger Lake,5MB + 8MB,,28,2000 ‑ 3700,4/8,10,x86,,1200,UHD Graphics Xe G4 48EUs,~28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198,3738,,,,,,,,,
Intel Core i3-1305U,Raptor Lake-U,Raptor Lake-U,3.5MB + 10MB,,15,1200 ‑ 4500,5/6,10,x86,,710,UHD Graphics 64EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Processor U300,Raptor Lake-U,Raptor Lake-U,3.5MB + 8MB,,15,900 ‑ 4400,5/6,10,x86,,346,UHD Graphics Xe G4 48EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Pentium 8505,Alder Lake-U,Alder Lake-M,3.5MB + 8MB,,15,900 ‑ 4400,5/6,10,x86,,710,UHD Graphics Xe G4 48EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i3-1210U,Alder Lake-U,Alder Lake-M,5MB + 10MB,,9,700 ‑ 4400,6/8,10,x86,,710,UHD Graphics 64EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Pentium 8500,Alder Lake-U,Alder Lake-M,3.5MB + 8MB,,9,700 ‑ 4400,5/6,10,x86,,710,UHD Graphics Xe G4 48EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i7-8550U,Kaby Lake Refresh,Kaby Lake Refresh,1MB + 8MB,,15,1800 ‑ 4000,4/8,14,x86,,2307,UHD Graphics 620,~25.6,5845,6423,17321.5,1.89,6.11,163,553,388.5,1128,1021,2914,9.28,536,9.9,366.7,4374,147.9,33.15,3.88,4.3,0.73,0.43,913,,4337,15613,,3770,12327.5,4900,15117,1081,3141,,,,,,71.3,33496,121.8,,182,
Qualcomm Snapdragon 8cx Gen 2 5G,Cortex-A76 / A55 (Kryo 495),Snapdragon,+ 2MB,,7,3150,8/8,7,ARM,,1198,Adreno 680,~19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2355,7502,,,797,3115.5,,,,,32979,85.4,68.8,132,
MediaTek Dimensity 9200+,Cortex-X3 / A715 / A510,,,,,2000 ‑ 3350,8/8,4,ARM,,393,Immortalis-G715 MP11,~35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7167,19785,,,1541,4936.5,1805.5,4658.5,,,36482,136.74,176,143,95
MediaTek Dimensity 9200,Cortex-X3 / A715 / A510,,,,,1800 ‑ 3050,8/8,4,ARM,,393,Immortalis-G715 MP11,~22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247,13625,1668,4233,1384,4232,,,,,21648,67.65,60.2,82,66
AMD Ryzen 5 2600H,Zen,Raven Ridge (Ryzen 2000 APU),2MB + 4MB,,45,3200 ‑ 3600,4/8,14,x86,,1870,Vega 8,~13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819,2741,812,3226,,,,,,,,,
Intel Core i5-8260U,Coffee Lake,Coffee Lake,1MB + 6MB,,15,1600 ‑ 3900,4/8,14,x86,,1577,UHD Graphics 620,~27.3,,,,,,156.9,627,400,1494,629,3028,,,,,,,,1.8,,,,726,1402,4056,18874,,,,,,552,1464,639,1817,,,,,,148.27,,,
Intel Core i5-1030NG7,Ice Lake Y,Ice Lake,2MB + 6MB,,10,1100 ‑ 3500,4/8,10,x86,,1365,Iris Plus Graphics G7 (Ice Lake 64 EU),~21.1,3828,4250,9432,1.21,3.37,140,448,352.5,875.5,,,11.4,653,15.2,687,3878,77.4,16.9,2.95,3.1,0.48,0.3,1310,,3472,10924,,,,4996,12112,1020,2572,1088.5,2710,,,,132,42305,122.5,97.9,158.5,
Intel Core i3-N305,Alder Lake-N,Alder Lake-N,4MB + 6MB,,15,1800 ‑ 3800,8/8,10,x86,,354,UHD Graphics Xe 32EUs (Tiger Lake-H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-1030G7,Ice Lake-Y,Ice Lake,2MB + 6MB,,9,800 ‑ 3500,4/8,10,x86,,1597,Iris Plus Graphics G7 (Ice Lake 64 EU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i5-1030G4,Ice Lake-Y,Ice Lake,2MB + 6MB,,9,700 ‑ 3500,4/8,10,x86,,1597,Iris Plus Graphics G4 (Ice Lake 48 EU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i3-1115G4,Tiger Lake-UP3,Tiger Lake,2.5MB + 6MB,,28,3000 ‑ 4100,2/4,10,x86,,1200,UHD Graphics Xe G4 48EUs,~28.7,6331,8018,16265,,,190,480.5,504.5,1114,1312,3125,8.24,434.8,11.76,412.8,,141.6,26.2,3.74,2.8,0.41,0.23,1021.5,2408,4599.5,12919.5,,,,5601,9945,1328,2399,1311.5,2605,,,,145.8,58151,164.05,179.5,204.5,152.3
Intel Core i3-1120G4,Tiger Lake-UP4,Tiger Lake,5MB + 8MB,,15,1500 ‑ 3500,4/8,10,x86,,1199,UHD Graphics Xe G4 48EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel Core i3-1005G1,Ice Lake-U,Ice Lake,1MB + 4MB,,15,1200 ‑ 3400,2/4,10,x86,,1661,UHD Graphics G1 (Ice Lake 32 EU),~23.3,5501,6573,14323,1.88,4.58,157,405,403,859,1055.5,2221,10.02,487.1,13.92,439.8,2624,135.2,25.22,3.12,2.4,0.38,0.22,1264,,4004,10896,,,,4817.5,9211,1129.5,2231.5,1159.5,2425.5,,,,191.4,46698,131.95,127.2,179.5,
Intel Core i3-10110U,Comet Lake-U,Comet Lake,1MB + 4MB,,15,2100 ‑ 4100,2/4,14,x86,,1566,UHD Graphics 620,~22.7,,6349,11204.5,1.87,3.59,162,321,401,753,1032.5,2142,9.43,538.5,15.77,533,2156,110.05,20.63,2.92,2.05,0.37,0.22,1279.5,,4153.5,10291.5,7706,3470,7335,4455,8289,1002,2034,987,2025.5,,,,95.3,29833,,47,164,
Intel Core i3-8109U,Coffee Lake-U,Coffee Lake,512KB + 4MB,,28,3000 ‑ 3600,2/4,14,x86,,2082,Iris Plus Graphics 655,~25.9,,,,,,138.65,352.5,351,772,906,2004,,,,,,,,2.85,,,,1328,,3752,9489,,,,4540,8974,,,888,1880,,,,,,90.07,,131.3,
Intel Core i5-8350U,Kaby Lake Refresh,Kaby Lake Refresh,1MB + 6MB,,15,1700 ‑ 3600,4/8,14,x86,,2307,UHD Graphics 620,~25.9,5925,5460.5,17931,1.69,5.95,150.5,569,,,,,10.94,637,9.7,330.45,2961,152.85,37.28,,4.05,0.69,0.41,705,,,,,3439,12270,4225,13605,,,,,,,,156.45,31171,94.7,98.65,183.5,
AMD Ryzen 3 1200,Summit Ridge (Zen),Ryzen 3,2MB + 8MB,,65,3100 ‑ 3400,4/4,14,x86,,2331,UHD Graphics 750,~19.6,5419,4178,13961,1.53,5.5,135,480,337,1192,834,3013,12.39,,12.5,390.1,2481,160,33.34,3.47,2.6,0.4,0.25,1002,,3391,11980,,,,3955,10851,,,834,2882,,,,,,,,151,
Intel Core i5-8250U,Kaby Lake Refresh,Kaby Lake Refresh,1MB + 6MB,,15,1600 ‑ 3400,4/8,14,x86,,2307,UHD Graphics 620,~23.1,6348,5533,17987,1.64,5.94,143,562,353,1171,873.5,3108,11.06,613,8.06,306.2,3991,137.5,31.96,4.34,3.5,0.68,0.41,899.5,,3706,15365.5,,3242,12742,4095,12751,927,3298,925,3427,,,,91,29871,,48.7,167.5,
AMD Ryzen 5 2500U,Zen,Raven Ridge (Ryzen 2000 APU),2MB + 4MB,,15,2000 ‑ 3600,4/8,14,x86,,2165,Vega 8,~23.1,4828,4410.5,15683.5,1.59,6.64,137,609,354.5,1298.5,,,12.29,697,10.23,313.5,2425.5,121,34.7,3.67,3.3,0.56,0.37,770.5,,3441,16251,10616,3383,11301,3703,9952,,,831,2515,,,,116.95,26534.5,,38.55,160,
Intel Core i3-N300,Alder Lake-N,Alder Lake-N,+ 6MB,,7,‑ 3800,8/8,10,x86,,351,UHD Graphics Xe 750 32EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD Ryzen 5 PRO 2500U,Zen,Raven Ridge (Ryzen 2000 APU),2MB + 4MB,,15,2000 ‑ 3600,4/8,14,x86,,2165,Vega 8,~23.2,5635,4349,14336,1.55,6.08,134,553,,,,,12.7,728.5,12.36,386.55,2699.5,97.7,33.91,3,3.4,0.6,0.39,1007,,4102,2794,11156,3326,12421.5,3492,9343,,,887,3135,,,,138.1,24308,,,,
AMD Ryzen Embedded V1605B,Zen,Raven Ridge (Ryzen 2000 APU),2MB + 4MB,,15,2000 ‑ 3600,4/8,14,x86,,2123,Vega 8,~23.8,,,,,,128,654,334,1235,841,3160,,,,,,,,3.64,,,,791,,3374,16708,,,,3800,12100,846,3264,819,3184,,,,,,92.6,,149,
Intel Core i3-8100H,Coffee Lake-H,Coffee Lake,1MB + 8MB,,45,3000,4/4,14,x86,,1991,UHD Graphics 630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MediaTek Dimensity 9000+,Cortex-X2 / A710 / A510,,+ 14MB,,,1800 ‑ 3200,8/8,4,ARM,,462,Mali-G710 MP10,~28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3705.5,8482,,,1391.5,4606.5,,,8591,,51846,134,116,152,128
MediaTek Dimensity 9000,Cortex-X2 / A710 / A510,,+ 14MB,,,1800 ‑ 3050,8/8,4,ARM,,1059,Mali-G710 MP10,~31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5713,15310,,,1248,4051,1608,4482,9111,,50429,148.12,119,121,153
Apple A12Z Bionic,"Vortex, Tempest",Apple A-Series,8MB,,,‑ 2490,8/8,7,ARM,,1367,A12Z Bionic GPU,~39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122,4709.5,,,,125,42425,126.1,144.5,141,
Apple A12X Bionic,"Vortex, Tempest",Apple A-Series,8MB,,,‑ 2490,8/8,7,ARM,,1872,A12X Bionic GPU,~38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4993,17866,1114,4661,1120,4620,1313,4660,758432,114,45079.5,,131.9,177,
Apple A14 Bionic,Firestorm / Icestorm,Apple A-Series,12MB + 16MB,,,1800 ‑ 3100,6/6,5,ARM,,1186,A14 Bionic GPU,~42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588.5,4093.5,,,44785,85.85,58528,159.95,194.5,193.5,147
Qualcomm Snapdragon 8+ Gen 1,Cortex-X2 / A710 / A510 (Kryo) Waipio,Snapdragon,+ 6MB,,,1800 ‑ 3200,8/8,4,ARM v9,,574,Adreno 730,~38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7202.5,17569.5,,,1321,4162,1741,4584,,190.4,39564,111.45,103,156.5,101
Google Tensor G3,Zuma - Cortex X3 / A715 / A510,,+ 4MB,,,1700 ‑ 2910,9/9,4,ARM,,77,Mali-G715 MP7,~37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6074,14268,,,1267,3509.5,1711,4381.5,,197,48641,104.71,147,122,98.5
Qualcomm Snapdragon 8 Gen 1,Cortex-X2 / A710 / A510 (Kryo) Waipio,Snapdragon,+ 6MB,,,1800 ‑ 2995,8/8,4,ARM v9,,750,Adreno 730,~36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,8654,,,6668,15021,,,1236,3581,1610,3860,,302.5,45945,108.4,109.5,151,92.5
Microsoft SQ1,Cortex-A76 / A55 (Kryo 495),Snapdragon,+ 2MB,,,3000,8/8,7,ARM,,1535,Adreno 685,~10.2,,537,4276,,,,,,,,,21.2,1095,14.2,429.3,,,,,,,,,,,,,,,830,2597,728,2785,739,2875,,,,,31099,76.7,61.8,116,
Qualcomm Snapdragon 7+ Gen 2,Cortex-X2 / A710 / A510,Snapdragon,,,,1800 ‑ 2910,8/8,4,ARM,,281,Adreno 725,~32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6584,16748,,,1224.5,3959,1687,4378,,,37823,126.39,108,134,107
Intel Core i3-1110G4,Tiger Lake-UP4,Tiger Lake,2.5MB + 6MB,,15,2500 ‑ 3900,2/4,10,x86,,1199,UHD Graphics Xe G4 48EUs,~19.6,5008,6972,13139,2.02,4.31,160.4,382,422,732,877,1868,9.39,474.59,12.44,519.97,2728,115.6,21.4,2.47,2.4,0.36,0.21,1560,,3935,8714,,,,5397,10233,1212,2478,772,1894,,,,,,,,188.4,
Qualcomm Snapdragon 8cx,Cortex-A76 / A55 (Kryo 495),Snapdragon,+ 2MB,,7,2840,8/8,7,ARM,,1835,Adreno 680,~12.6,,591,4187,,,,,,,,,10.9,564,14.6,442.1,,,,,,,,,,,,,,,3313,11047,,,700,2760,,,,,29364,73.5,59.3,116,
Qualcomm Snapdragon 888 Plus 5G,Cortex-X1 / A78 / A55 (Kryo 680),Snapdragon,+ 3MB,,5,1800 ‑ 3000,8/8,5,ARM,,900,Adreno 660,~28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,10821,,,4973,13552.5,1164,3699,1157,3628.5,,,4771,342.5,37604,96.2,80.6,147,104
Qualcomm Snapdragon 888 5G,Cortex-X1 / A78 / A55 (Kryo 680),Snapdragon,+ 3MB,,5,1800 ‑ 2840,8/8,5,ARM,,1108,Adreno 660,~28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,11578,,,5087,14326,,,1129,3598,1480,3595,,,35487.5,106.1,85.75,148,
Qualcomm Snapdragon 888 4G,Cortex-X1 / A78 / A55 (Kryo 680),Snapdragon,+ 3MB,,5,1800 ‑ 2840,8/8,5,ARM,,1108,Adreno 660,~27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5083,13553,,,1107,3334,,,,,22851,,,108,
Samsung Exynos 2200,Exynos X2 / Cortex-A710 / A510,Exynos,,,,1820 ‑ 2800,8/8,4,ARM,,696,Xclipse 920,~37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5788,15310,,,1145,3560,,,,281.5,38992,96.8,108,149,
Apple A13 Bionic,Lightning and Thunder,Apple A-Series,12MB,,,‑ 2660,6/6,7,ARM,,1552,A13 Bionic GPU,~34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343,3463,1332,3378.5,,,683897,,48991,132.9,157,183,
Intel Processor N200,Alder Lake-N,Alder Lake-N,+ 6MB,,6,1000 ‑ 3700,4/4,10,x86,,351,UHD Graphics Xe 750 32EUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
