id,name,passmark
1517,AMD Athlon II X3 420e,1557
155,AMD Athlon II X3 425,1570
156,AMD Athlon II X3 435,1687
157,AMD Athlon II X3 440,1712
158,AMD Athlon II X3 445,1816
159,AMD Athlon II X3 450,1813
160,AMD Athlon II X3 455,1848
161,AMD Athlon II X3 460,1985
1518,AMD Athlon II X4 553,2418
1519,AMD Athlon II X4 555,2498
4447,AMD Athlon II X4 557,2567
2024,AMD Athlon II X4 559,2602
162,AMD Athlon II X4 600e,1711
163,AMD Athlon II X4 605e,1973
164,AMD Athlon II X4 610e,1882
165,AMD Athlon II X4 615e,2000
166,AMD Athlon II X4 620,1995
168,AMD Athlon II X4 630,2137
169,AMD Athlon II X4 631 Quad-Core,2150
170,AMD Athlon II X4 635,2189
2508,AMD Athlon II X4 638 Quad-Core,2250
171,AMD Athlon II X4 640,2228
173,AMD Athlon II X4 641 Quad-Core,2313
174,AMD Athlon II X4 645,2321
175,AMD Athlon II X4 650,2409
176,AMD Athlon II X4 651 Quad-Core,2494
2127,AMD Athlon II X4 655,2078
186,AMD Athlon L110,197
187,AMD Athlon LE-1600,412
188,AMD Athlon LE-1620,421
189,AMD Athlon LE-1640,430
190,AMD Athlon LE-1660,416
179,AMD Athlon Neo MV-40,270
180,AMD Athlon Neo X2 Dual Core 6850e,456
181,AMD Athlon Neo X2 Dual Core L325,556
182,AMD Athlon Neo X2 Dual Core L335,529
3269,AMD Athlon PRO 200GE,3926
3571,AMD Athlon PRO 300GE,4398
5245,AMD Athlon PRO 300U,4080
5200,AMD Athlon PRO 3045B,2618
4933,AMD Athlon Silver 3050C,2879
3876,AMD Athlon Silver 3050e,3043
4093,AMD Athlon Silver 3050GE,4545
3720,AMD Athlon Silver 3050U,3000
5529,AMD Athlon Silver 7120U,3013
3801,AMD Athlon Silver PRO 3125GE,4633
191,AMD Athlon TF-20,265
192,AMD Athlon TF-36,338
195,AMD Athlon X2 215,996
196,AMD Athlon X2 240,921
1526,AMD Athlon X2 240e,1015
198,AMD Athlon X2 250,855
1527,AMD Athlon X2 255,938
2177,AMD Athlon X2 280,1327
1994,AMD Athlon X2 340 Dual Core,1301
2076,AMD Athlon X2 370K Dual Core,1504
4948,AMD Athlon X2 450,1295
200,AMD Athlon X2 Dual Core 3250e,357
1529,AMD Athlon X2 Dual Core 6850e,564
201,AMD Athlon X2 Dual Core BE-2300,570
202,AMD Athlon X2 Dual Core BE-2350,591
203,AMD Athlon X2 Dual Core BE-2400,674
204,AMD Athlon X2 Dual Core L310,309
1531,AMD Athlon X3 425,1516
211,AMD Athlon X3 435,1781
1532,AMD Athlon X3 440,1438
1533,AMD Athlon X3 445,1626
1453,AMD Athlon X3 455,1783
4200,AMD Athlon X4 530,1786
212,AMD Athlon X4 620,1810
215,AMD Athlon X4 640,2115
4748,AMD Athlon X4 730,2278
1789,AMD Athlon X4 740 Quad Core,2642
2500,AMD Athlon X4 750 Quad Core,2625
1801,AMD Athlon X4 750K Quad Core,2842
1997,AMD Athlon X4 760K Quad Core,2948
3190,AMD Athlon X4 830,2901
2463,AMD Athlon X4 840,3315
2721,AMD Athlon X4 845,3806
5331,AMD Athlon X4 850,3366
2362,AMD Athlon X4 860K,3406
2724,AMD Athlon X4 870K,3399
2747,AMD Athlon X4 880K,3652
3078,AMD Athlon X4 950,3580
5714,AMD Athlon X4 970,3850
218,AMD Athlon XP 1500+,167
219,AMD Athlon XP 1600+,174
49,AMD Athlon XP 1700+,176
221,AMD Athlon XP 1800+,195
222,AMD Athlon XP 1900+,203
223,AMD Athlon XP 2000+,195
224,AMD Athlon XP 2100+,210
225,AMD Athlon XP 2200+,214
226,AMD Athlon XP 2400+,234
227,AMD Athlon XP 2500+,231
228,AMD Athlon XP 2600+,242
229,AMD Athlon XP 2700+,256
230,AMD Athlon XP 2800+,260
1539,AMD Athlon XP 2900+,276
231,AMD Athlon XP 3000+,262
232,AMD Athlon XP 3100+,282
233,AMD Athlon XP 3200+,281
234,AMD Athlon XP1600+,183
1549,AMD Athlon XP2400+,243
1551,AMD Athlon64 X2 Dual Core 4600+,803
241,AMD C-30,178
242,AMD C-50,265
243,AMD C-60,290
244,AMD C-60 APU,312
1817,AMD C-70 APU,315
247,AMD E-240,195
248,AMD E-300 APU,338
249,AMD E-350,420
1777,AMD E-350 APU,423
1869,AMD E-350D APU,486
250,AMD E-450 APU,433
2379,AMD E1 Micro-6200T APU,600
1427,AMD E1-1200 APU,378
1885,AMD E1-1500 APU,402
1968,AMD E1-2100 APU,404
2391,AMD E1-2200 APU,474
2019,AMD E1-2500 APU,594
2308,AMD E1-6010 APU,534
2552,AMD E1-6015 APU,585
2736,AMD E1-6050J APU,1385
2820,AMD E1-7010 APU,594
251,AMD E2-1800 APU,444
1867,AMD E2-2000 APU,492
2159,AMD E2-3000 APU,726
252,AMD E2-3000M APU,668
253,AMD E2-3200 APU,953
2160,AMD E2-3800 APU,1132
2373,AMD E2-6110 APU,1088
3868,AMD E2-7015,572
3669,AMD E2-7015 APU,662
2628,AMD E2-7110 APU,1511
3018,AMD E2-9000,945
3048,AMD E2-9000e,887
2915,AMD E2-9010,991
3390,AMD E2-9030,983
3076,AMD Embedded G-Series GX-215JJ Radeon R2E,1057
3125,AMD Embedded G-Series GX-224IJ Radeon R4E,1271
3077,AMD Embedded G-Series GX-420GI Radeon R7E,1570
3022,AMD Embedded R-Series RX-216GD,1628
3218,AMD Embedded R-Series RX-418GD Radeon R6,3426
2655,AMD Embedded R-Series RX-421BD,3302
4894,AMD Embedded R-Series RX-421ND,3575
4653,AMD EPYC 3101 4-Core,6050
5233,AMD EPYC 3151,8329
3480,AMD EPYC 3201,8545
3583,AMD EPYC 3251,13912
5369,AMD EPYC 3451,19532
3718,AMD EPYC 7232P,17017
3196,AMD EPYC 7251,14935
4366,AMD EPYC 7252,19411
3636,AMD EPYC 7262,20795
3731,AMD EPYC 7272,25568
3130,AMD EPYC 7281,21981
3625,AMD EPYC 7282,29496
4641,AMD EPYC 72F3,27252
3427,AMD EPYC 7301,14991
3650,AMD EPYC 7302,33002
3610,AMD EPYC 7302P,32612
4443,AMD EPYC 7313,40075
4407,AMD EPYC 7313P,42032
4388,AMD EPYC 7343,44189
3411,AMD EPYC 7351,23566
3124,AMD EPYC 7351P,25706
4500,AMD EPYC 7352,40096
3387,AMD EPYC 7371,31094
4403,AMD EPYC 73F3,46085
3118,AMD EPYC 7401P,28591
3713,AMD EPYC 7402,47554
3591,AMD EPYC 7402P,42899
4346,AMD EPYC 7413,50223
4708,AMD EPYC 7443,55525
4391,AMD EPYC 7443P,57325
3164,AMD EPYC 7451,20471
3600,AMD EPYC 7452,47746
4663,AMD EPYC 7453,50575
5013,AMD EPYC 7473X,59280
4560,AMD EPYC 74F3,60666
3153,AMD EPYC 7501,24925
3880,AMD EPYC 7502,45839
3538,AMD EPYC 7502P,50193
4383,AMD EPYC 7513,59988
4482,AMD EPYC 7532,53162
3604,AMD EPYC 7542,49437
4404,AMD EPYC 7543,60132
4508,AMD EPYC 7543P,66608
3089,AMD EPYC 7551,21600
3215,AMD EPYC 7551P,39018
3822,AMD EPYC 7552,51104
3543,AMD EPYC 7571,27445
4959,AMD EPYC 7573X,70868
4416,AMD EPYC 75F3,68505
3142,AMD EPYC 7601,34079
4336,AMD EPYC 7642,58177
4205,AMD EPYC 7643,76455
4251,AMD EPYC 7662,73321
3719,AMD EPYC 7702,69872
3555,AMD EPYC 7702P,62670
4206,AMD EPYC 7713,83473
4714,AMD EPYC 7713P,80373
3547,AMD EPYC 7742,69183
4207,AMD EPYC 7763,86143
4884,AMD EPYC 7773X,91491
4398,AMD EPYC 7B12,65658
4535,AMD EPYC 7B13,77460
5042,AMD EPYC 7D12,42762
3852,AMD EPYC 7F32,23453
3753,AMD EPYC 7F52,40957
3618,AMD EPYC 7H12,69633
4300,AMD EPYC 7J13,85683
4859,AMD EPYC 7K62,49104
5254,AMD EPYC 7R12,48934
3894,AMD EPYC 7R32,64727
4828,AMD EPYC 7T83,81757
4365,AMD EPYC 7V13,82878
5451,AMD EPYC 9124,43698
5381,AMD EPYC 9174F,55485
5500,AMD EPYC 9254,70006
5513,AMD EPYC 9274F,73463
5519,AMD EPYC 9334,65279
5173,AMD EPYC 9354P,78796
5596,AMD EPYC 9454P,96088
5297,AMD EPYC 9474F,104894
5557,AMD EPYC 9534,88716
5599,AMD EPYC 9554P,109858
5088,AMD EPYC 9654,126045
5575,AMD EPYC 9654P,113949
5752,AMD EPYC 9754,81404
