id,name,passmark
gpu1300,GeForce 9400M G,67
gpu3393,GeForce 940A,1106
gpu3155,GeForce 940M,1122
gpu3453,GeForce 940MX,1509
gpu2466,GeForce 9450,104
gpu4094,GeForce 945A,1852
gpu3388,GeForce 945M,2107
gpu78,GeForce 9500 GS,187
gpu1304,GeForce 9500 GT,151
gpu1305,GeForce 9500M,103
gpu1306,GeForce 9500M G,121
gpu1307,GeForce 9500M GS,102
gpu1308,GeForce 9600 GS,281
gpu1309,GeForce 9600 GSO,327
gpu1310,GeForce 9600 GSO 512,329
gpu95,GeForce 9600 GT,491
gpu1313,GeForce 9600M GS,118
gpu1314,GeForce 9600M GT,137
gpu1315,GeForce 9600M GT / GeForce GT 220M,293
gpu1316,GeForce 9650M GS,270
gpu1317,GeForce 9650M GT,137
gpu1318,GeForce 9700M GT,208
gpu1319,GeForce 9700M GTS,278
gpu60,GeForce 9800 GT,465
gpu3260,GeForce 9800 GT 1024MB,134
gpu1320,GeForce 9800 GTX,769
gpu92,GeForce 9800 GTX+,506
gpu1321,GeForce 9800 GTX/9800 GTX+,608
gpu1323,GeForce 9800 GX2,797
gpu2264,GeForce 9800 S,635
gpu97,GeForce 9800M GS,554
gpu1325,GeForce 9800M GT,381
gpu1326,GeForce 9800M GTS,401
gpu1327,GeForce 9800M GTX,454
gpu3403,GeForce 999 GTX,83
gpu1329,GeForce FX 5100,7
gpu1330,GeForce FX 5200,7
gpu1333,GeForce FX 5200 Ultra,12
gpu1334,GeForce FX 5200LE,7
gpu2655,GeForce FX 5200SE,11
gpu1335,GeForce FX 5500,8
gpu1336,GeForce FX 5600,12
gpu1337,GeForce FX 5600 Ultra,17
gpu1339,GeForce FX 5600XT,9
gpu1340,GeForce FX 5700,40
gpu1341,GeForce FX 5700 Ultra,34
gpu1342,GeForce FX 5700LE,24
gpu1343,GeForce FX 5700VE,33
gpu1346,GeForce FX 5900,34
gpu1347,GeForce FX 5900 Ultra,41
gpu1348,GeForce FX 5900XT,40
gpu1349,GeForce FX 5900ZT,32
gpu1350,GeForce FX 5950 Ultra,59
gpu1351,GeForce FX Go 5200,8
gpu1353,GeForce FX Go 5600,17
gpu1358,GeForce FX Go5300,12
gpu1361,GeForce FX Go5650,16
gpu1362,GeForce FX Go5700,51
gpu23,GeForce G 103M,62
gpu1364,GeForce G 105M,62
gpu43,GeForce G100,175
gpu1366,GeForce G102M,167
gpu1367,GeForce G105M,107
gpu1368,GeForce G200,136
gpu1369,GeForce G205M,91
gpu1370,GeForce G210,98
gpu1371,GeForce G210M,115
gpu1372,GeForce Go 6100,17
gpu1373,GeForce Go 6150,19
gpu1375,GeForce Go 6200,15
gpu1377,GeForce Go 6400,24
gpu1378,GeForce Go 6600,69
gpu1379,GeForce Go 6600 TE/6200 TE,44
gpu1381,GeForce Go 6800,106
